category_id,category
1,Kulfi
2,Veg Rice Bowls [Steamed Rice]
3,Pastas & Risottos
4,Chai Vada Special
5,Dairy Product
6,Veg Mini Meals
7,Kolkata Special Biryani
8,Classic Ice Cream Flavour
9,Gujarati Nasta
10,Homemade Lasagna
11,Pork Lover
12,Made With Kitkat
13,Peri Peri Strips
14,Bar Cakes
15,Chatak Chaat
16,Meal For Family
17,Dahi / Paneer
18,Pork
19,Special Combos
20,Paratha Rolls
21,Wow! Bowls (Newly Launced)
22,Perfect for 2 Bento Cakes
23,1/2 Kg Cakes
24,Burgers & Sandwiches
25,Pulao
26,Hot Pot
27,Beef Items
28,Choctails
29,Newly Launched
30,Ganesh Chaturthi Specials
31,Party Platters & Feast
32,Maggi
33,Extra Helpings
34,Calzone
35,Puja Specials
36,Veg Item
37,Pasta BOWLJ
38,Kofte Ki Sabji
39,Poori
40,Soya Chikka
41,Breakfast Special's & Snacks
42,Family Combo
43,"Set Menu (served With Rice,miso Soup)"
44,Khichdi & Flavoured Rice
45,Tandoor Breads
46,Desi Ghee
47,Tandoor Non Veg
48,Momos & Spring Roll
49,Babka Pantry
50,Swiggy Exclusive Combos (serves 1)
51,New Launchs
52,Chinese Appetizers (fish & Prawns)
53,Fundaes
54,Garlic Aioli Dip!
55,Seafoods Dry & Gravy
56,Gifting Specials
57,Family Value Combos Starting @ 299/-
58,Indian Appetizers (paneer)
59,Bowl & Starter Combos [FREE Coke & Choco Lava w...
60,Lunch
61,All Day Lunch Special Meal Box
62,Idiyappam Curry Bowls
63,Chinese Non Veg Starters
64,Steam Momo
65,China Express
66,Tawa Sigdi Tandoor
67,FROM THE SWEET TOOTH
68,South Indian Lunch Combo
69,Chinese Rice  Veg
70,All Day Nashta
71,Indian Combo
72,Royal 4in1 Pizza
73,Prepacked Milkshakes
74,Gourmet Ice Cream Cups
75,Healthy Food
76,Mathi & Bhaji
77,Gourmet Sandwiches
78,Other Tiffins
79,Christmas Specials
80,Cookies Cup
81,Breads And Snacks
82,Rolls & Fries
83,Dal Papad
84,Wow!  Momo  On  Wow China
85,Dumplings
86,Regular Ice Creams
87,Mini Meals
88,Noodles & Eggs
89,Regular Pizzas
90,Veg One Pizza
91,Dairy Special
92,Wow! Kulfi Dessert (8)
93,Sandwich & Burgers & Rolls
94,Chicken Blast Pizza
95,Momo Hut
96,Vegetarian Delights
97,All Day Breakfast Box
98,Thalappakatti Combos
99,Combo Ala Carte
100,Rice/Dal/Bhaja
101,Lentils
102,Salad  Apki Pasand
103,Soft Beverages
104,Sweet & Snacks
105,Durga Puja Specials
106,Uthappam
107,Healthy Khichdi
108,Laddu Speical
109,Meals For One
110,Motu Patlu Kid's Specials
111,Turkish Alfahm Mandi
112,Chocolate Shakes
113,Shaptak (Slice Chilli Meat Fried)
114,Non Veg Meals and Combo
115,Nachos
116,WeFit Keto Meals
117,Cream Cruz
118,Indo Italian Gravy Momos
119,Handi Breads(tandoori)
120,Gravy Selection
121,Kunafa
122,Tandoor
123,Dry Cakes
124,Biscuits
125,Special Starter Of The Day
126,Veg Fries
127,Tikka & Kebab
128,Barbeque in a Box (Serves 2-3)
129,Indian Cuisine
130,Sashti thali
131,Grilled
132,Buckets
133,Royal Curry & Thali
134,Patties Special
135,Chief's Special Gravies
136,Assorted Brew Coffee Box
137,Dabangg Kolkata  Roll
138,Veg Combo
139,Quick Bites From Egg
140,Maki Rolls(6pcs)
141,Tandoori And Tikka
142,Bakery & sweets
