location_id,state,city,location
1,Assam,Guwahati,Amingaon
2,Assam,Guwahati,Azara
3,Assam,Guwahati,Beltola
4,Assam,Guwahati,BIRKUCHI
5,Assam,Guwahati,BishnuRavaPath
6,Assam,Guwahati,Boragaon
7,Assam,Guwahati,Borbari
8,Assam,Guwahati,Borjhar
9,Assam,Guwahati,Christian Basti
10,Assam,Guwahati,Ganeshguri
11,Assam,Guwahati,Gorchuk
12,Assam,Guwahati,GS Road
13,Assam,Guwahati,Guwahati
14,Assam,Guwahati,Hatigaon
15,Assam,Guwahati,Jalukbari
16,Assam,Guwahati,Jatia
17,Assam,Guwahati,Kala Pahar
18,Assam,Guwahati,Lokhra
19,Assam,Guwahati,Maligaon
20,Assam,Guwahati,Mirza
21,Assam,Guwahati,Narengi
22,Assam,Guwahati,NCS SQUARE MALL
23,Assam,Guwahati,Rani Gate
24,Assam,Guwahati,Rukmini Gaon
25,Assam,Guwahati,Silpukhuri
26,Assam,Guwahati,Six Mile
27,Assam,Guwahati,UDESHNA
28,Assam,Guwahati,Zoo Narengi Road
29,Assam,Guwahati,Zoo Tiniali
30,Bihar,Patna,Adarsh Colony
31,Bihar,Patna,Anandpuri
32,Bihar,Patna,ASHIYANA DIGHA ROAD
33,Bihar,Patna,atna Sadar
34,Bihar,Patna,BAKSHI MOHALLA
35,Bihar,Patna,Boring Canal Road
36,Bihar,Patna,Boring Patliputra Road
37,Bihar,Patna,Boring Road
38,Bihar,Patna,Chandra Kutir Complex
39,Bihar,Patna,DRB- BhattaCharya Road
40,Bihar,Patna,Hajipur
41,Bihar,Patna,Kankarbagh
42,Bihar,Patna,Kumhrar
43,Bihar,Patna,Kurji
44,Bihar,Patna,near vaishali golambar road
45,Bihar,Patna,P&M Mall
46,Bihar,Patna,Pat_Fatuha
47,Bihar,Patna,Patliputra Colony
48,Bihar,Patna,Patna City
49,Bihar,Patna,Rajendra Nagar
50,Bihar,Patna,Sri Krishna Puri
51,Bihar,Patna,Sri Krishnapuri
52,Bihar,Patna,Srikrishnapuri
53,Bihar,Patna,"UNO Business Center, Patliputra"
54,Bihar,Patna,Vaishali
55,Bihar,Patna,Vivek Vihar Colony
56,Chhattisgarh,Raipur,Avanti Vihar
57,Chhattisgarh,Raipur,Chakan
58,Chhattisgarh,Raipur,Civil Lines
59,Chhattisgarh,Raipur,Govind Nagar
60,Chhattisgarh,Raipur,Katora Talab
61,Chhattisgarh,Raipur,Labhandi
62,Chhattisgarh,Raipur,Labhandih
63,Chhattisgarh,Raipur,magnato the mall
64,Chhattisgarh,Raipur,MAGNETO MALL
65,Chhattisgarh,Raipur,Magneto The Mall
66,Chhattisgarh,Raipur,Mahaveer Nagar
67,Chhattisgarh,Raipur,Pachpedi Naka
68,Chhattisgarh,Raipur,Pandri
69,Chhattisgarh,Raipur,Purena
70,Chhattisgarh,Raipur,Samta Colony
71,Chhattisgarh,Raipur,Samta Housing Construction
72,Chhattisgarh,Raipur,Shankar Nagar
73,Chhattisgarh,Raipur,Shyam Nagar
74,Chhattisgarh,Raipur,Tatibandh
75,Chhattisgarh,Raipur,Telibandha Square
76,Chhattisgarh,Raipur,Vishal Nagar
77,Chhattisgarh,Raipur,Wrd 30. Shankar Nagar
78,Chhattisgarh,Raipur,Zora Mall
79,Delhi,New Delhi,C Block
80,Delhi,New Delhi,Charmwood Village
81,Delhi,New Delhi,Cleo County
