restaurant_id,restaurant_name
1,Euphoria
2,Udupi Grand
3,Rattan's Veg & Non Veg
4,Ooopar Resto
5,Badmaash Kebabi
6,Bombay Mishthan Bhandar (Bmb) - Durapura
7,A Pizza House
8,Jugaad Jn
9,Hotel Maharaja and Fast Food
10,Hotel Al Reem
11,Frozzeto
12,FAT TIGER
13,Elite Kitchen
14,Aryan Family's Delight
15,Sanjha Chulha
16,Das Khaman
17,Keventers Waffles & Ice Cream
18,Tree Cafe And Restaurants
19,The Family Food Truck
20,Bakingo
21,Kalash Cloud Kitchen
22,Brew n Bite
23,USPFC - US Pizza & Fried Chicken
24,Bhavyam Veg
25,Punjab Sind
26,Uthuppans Uppum Mulakum Restaurant
27,Dessi Cuppa
28,Brew Cafe
29,Cloud Kitchen
30,Krishna Cafe
31,Grand Biryani Mahal
32,Dubai Hut
33,Grameen Kulfi
34,"The Dessert Heaven - Pastry, Brownie and Cakes"
35,Mani's Cafe
36,Prasadam Temple Prasad
37,Kim Pou Restaurent
38,Eleven Aizawl
39,Fast Pizza
40,Papputt's Valsa Cafe
41,Try Me
42,Delicious Kitchen
43,Appu Donne Biriyani Palace
44,Short Crust: Cakes & More
45,AnTeRa Courtyard
46,Idlygo Plus
47,One Bite New
48,Shakti - The Sandwich Shop
49,Paakashala
50,Udupi Cafe North India
51,Madras Cafe
52,Zaatar Arabic Restaurant
53,THE PERSIAN TABLE
54,Labonel Fine Baking
55,PVR Tiffins
56,Krishna Chhole Bhature
57,Pizza Jalapenia (Downtown)
58,Gokul Dham Ka Dhaba
59,Sherowali Sweets And Fast Foods
60,Makhani Darbar
61,Kaati Zone Rolls & Wraps
62,Laduram Nanagram Mawawala
63,Biggies Burger
64,Wooden Plate
65,Momo Nation Cafe
66,The Sweet Cafe
67,Rasoi Restaurant
68,Amritsari Food Platter
69,Downtown Multicuisine
70,Babka Goa
71,AVO's Kitchen
72,Nathu'S Sweets And Restaurant
73,Otssi ohan
74,Sandy's Chocolate Laboratory
75,So Southy
76,Mustard Cafe - Hotel Astoria
77,Mama's Kitchen
78,Patna Biryani Club
79,Cafe Sai Sadanand
80,Zongri Bakery & Cafe
81,Mr. Brown - Danbro
82,Ranga Sai Andhra Tiffins
83,Shree Raghavendra
84,Spicy Affair
85,Chinese Hut
86,Khana Khazana (Shankar Nagar)
87,Tea Junction
88,IFC Pizza and Burger
89,Burgrill - OG's of Grilled Burger
90,Hill View Holiday Home And Resort
91,Darjeeling Momos
92,Samosa Junction
93,Idly Dosa for You
94,Street Foods by Punjab Grill
95,Edesia by Freshmenu
96,Sprouts Wale
97,Radhe Bol
98,Sweet Truth - Cake and Desserts
99,Pizza Crust
100,Chai Kings
101,Nasta Bakery
102,Ujjwala Restaurant
103,Ovenfresh Cakes And Desserts
104,Sasuma
105,The Spicy Treat
106,Eikhoi Chakshang
107,Biryani Hut
108,Brijwasi Pure Veg
109,Food Hut
110,Shiv Sagar Veg Restaurant
111,PVR Cafe
112,Nazim Khan Kathi Roll
113,Hotel Rimi International
114,Hungerz
115,Hotel Platinum & Restaurant
116,McDonald's
117,BOX8 - Desi Meals
118,Saffron
119,Gokul Oottupura
120,Wood Street Cafe
121,Shahi Dhaba
122,Talk Of The Town (Bt Road)
123,Classic Radhey Sweets
124,Rice N Roti
125,Haldiram's Restaurant
126,Momo Cafe - Courtyard by Marriott
127,7th Heaven Cake Shop
128,Sher E Punjab
129,The Garage Cafe
130,Deja Vu
131,Jiva Veg
132,Hotel Surabhi udupi veg
133,Kachori King
134,Kaushal Punjabi Rasoi
135,Momo Cafe
136,Chetak Sweet Point
137,Udupi Cafe Bangalore Idli
138,37 The Central Restaurant
139,Momo Magic Cafe
140,Cakes By Flower Aura
141,Matkawala
142,Hanglaatherium
143,Kudil Restaurant
144,Attitude Cafe And Restaurant Nxt
145,Taste Buds
146,Chahat Biryani
147,Maa Ki Rasoi
148,Delicious Fast Food
149,Haveli Dhaba
150,Amar Bhojnalya
151,Frespresso
152,Panna Sweets & Restaurant
153,KC'S Kitchen
154,Khuangthali Restaurant
155,Etho Metho
156,French Loaf Bakery & Cafe
157,Biryani Paradise
158,FNP- Ferns N Petals
159,SHARMA DHABA
160,Balaji Restaurant
161,Biryani By Kilo
162,Pizza Italia
163,Pyramid
164,Food Hub
165,Jamie Oliver's Pizzeria
166,Dragon Panda
167,Crush Restaurant
168,Treat
169,Andhra Gunpowder
170,BK Cafe
171,Shri Ganpati Misthan Bhandar
172,Uss Da Dhaba
173,New Chanakya
174,Mad For Momos
